video_type,file_name,cur_frame,prev_frame,cur_ts,prev_ts,scene_change,dhash8_dif,dhash16_dif,dhash32_dif,ahash8_dif,ahash16_dif,ahash32_dif,phash8_dif,phash16_dif,phash32_dif,whash8_dif,whash16_dif,whash32_dif,colorhash3_dif,colorhash8_dif,color_shot
nomicro_fast_ad,10 Famous Funny Commercials2__EXP,577,576,00:00:19:07,00:00:19:06,False,21,99,342,25,100,423,30,120,532,22,86,364,3,11,False
nomicro_fast_ad,10 Famous Funny Commercials2__EXP,579,578,00:00:19:09,00:00:19:08,False,26,106,353,25,105,392,28,126,524,20,84,342,1,11,False
nomicro_fast_ad,10 Famous Funny Commercials2__EXP,580,579,00:00:19:10,00:00:19:09,False,22,102,390,18,88,340,26,132,544,20,76,308,4,6,False
nomicro_fast_ad,10 Famous Funny Commercials2__EXP,836,835,00:00:27:26,00:00:27:25,False,29,112,448,39,165,635,34,132,512,40,174,692,5,18,False
nomicro_fast_ad,10 Famous Funny Commercials2__EXP,837,836,00:00:27:27,00:00:27:26,False,16,89,370,17,72,301,20,104,442,22,78,308,5,15,False
nomicro_fast_ad,10 Famous Funny Commercials2__EXP,979,978,00:00:32:19,00:00:32:18,False,32,106,318,48,208,845,46,170,542,58,162,642,3,15,False
nomicro_fast_ad,10 Famous Funny Commercials2__EXP,984,983,00:00:32:24,00:00:32:23,False,15,30,103,48,193,749,38,134,530,21,66,394,0,3,False
nomicro_fast_ad,10 Famous Funny Commercials2__EXP,5303,5302,00:02:56:28,00:02:56:27,False,12,64,288,11,48,204,12,78,422,10,30,160,1,16,False
nomicro_fast_ad,10 Famous Funny Commercials2__EXP,8226,8225,00:04:34:14,00:04:34:13,False,31,103,333,35,132,533,34,120,496,30,133,561,0,0,False
nomicro_fast_ad,10 Famous Funny Commercials2__EXP,11319,11318,00:06:17:20,00:06:17:19,False,17,88,316,10,49,200,22,82,288,14,48,216,3,13,False
nomicro_fast_ad,10 Famous Funny Commercials2__EXP,11320,11319,00:06:17:21,00:06:17:20,False,16,61,202,12,59,257,10,62,228,12,54,252,5,10,False
nomicro_fast_ad,10 Famous Funny Commercials2__EXP,11474,11473,00:06:22:25,00:06:22:24,False,18,65,245,13,70,300,18,86,314,18,72,300,3,10,False
nomicro_fast_ad,10 Famous Funny Commercials2__EXP,11475,11474,00:06:22:26,00:06:22:25,False,16,57,283,8,27,96,14,62,250,4,24,106,1,12,False
nomicro_fast_ad,10 Famous Funny Commercials2__EXP,11595,11594,00:06:26:26,00:06:26:25,False,17,54,201,6,32,122,12,46,154,4,28,106,2,18,False
nomicro_fast_ad,10 Famous Funny Commercials2__EXP,11596,11595,00:06:26:27,00:06:26:26,False,12,75,283,12,58,259,14,72,360,14,68,258,10,40,False
nomicro_fast_ad,10 Famous Funny Commercials2__EXP,12712,12711,00:07:04:04,00:07:04:03,False,27,88,283,34,140,522,30,98,322,34,138,508,5,20,False
